Product_Reporting,Visitor_ID,State_Code
unknown,7732198244151778867_4134450918576237336,48
Refinance,2431284746265101166_8567539867164911934,51
Refinance,5951927093440429627_8402229250223050888,12
Refinance,9095128932057308643_5744753714959771864,39
Refinance,7144494725347131737_7936627049048254284,6
unknown,3840395548288420783_2563166581193760536,41
Refinance,5951927093440429627_8402229250223050888,12
Refinance,9193455551599519817_2133625214278931623,23
Refinance,4427865552475720477_747171176657803548,6
Refinance,1114696381134181432_6527712537278417460,33
unknown,3489213251580014308_7398156064548572149,9
unknown,1045083400990673712_8865219555642043783,55
unknown,104959404389931813_7664988777389669386,17
unknown,1187440273274509770_6264289359886443009,37
unknown,1259023831_2274431552,20
unknown,1422243278321408217_1794656872289764929,6
unknown,1470397279149965160_4056554722587805186,12
unknown,1529432820598411557_4243204992246694562,42
unknown,1709893692233310714_6128893313841640312,6
unknown,1745541608653249458_7227558626993931477,9
unknown,1861684549292256734_6435018148321770551,17
unknown,2169372723960481604_258221103072382442,39
unknown,2176559230035865039_6028598558958540714,12
unknown,2187762442256815536_577073384131518846,17
unknown,2208096828633599876_2524339848122002493,47
unknown,2385508582254797716_2877051979529532200,15
unknown,2390655788272990649_62550287593796688,48
unknown,265569730221593432_960506058289255664,12
unknown,2666065567448156575_1758368723776643525,48
unknown,2923231590883505603_8899135819102243365,34
unknown,3000224804852099826_2177060133223327021,37
unknown,3165487375400202017_761891474975824315,6
unknown,3167820724531281132_50524480124881814,51
unknown,3234605873742365234_7486117805911635592,11
unknown,344370418946117495_4397058832620276011,30
unknown,3686966202067268599_8057013726655279784,6
unknown,370934729801164125_5181521961172349351,25
unknown,3789034827659262295_1761383560668772016,6
unknown,3821085286657308349_4735171794810263958,6
unknown,4103762237795408857_217981441110970332,54
unknown,4232769485588208258_6516467579293803546,48
unknown,4280222067824961263_7777833577988918079,41
unknown,4502819517233681142_5134315128748823004,39
unknown,4563701066763645844_3855314630883734615,13
unknown,4572943070058004035_551532170084734417,51
unknown,4949472182770255485_5229460009957259311,36
unknown,5096521400643491548_2289858304222648128,4
unknown,5249132989113071390_2393233365023249875,6
unknown,5301437436609190077_5419584912290620900,13
unknown,552783653895408712_4215811161147128529,42
unknown,5569301588781429043_2391960064338781076,8
unknown,5576976309891762181_476633110217503197,37
unknown,5634998701346700179_5523771471010882250,12
unknown,5690491684645390718_1791286312338592199,6
unknown,5697220322171600230_2738219675735117757,34
unknown,5775826534172994977_7317835929315840929,12
unknown,5785096375378188619_1169547519620825866,6
unknown,5797358725399011188_7537232172709192978,38
unknown,5812331469233785813_280662731814475031,55
unknown,5922092648250729723_1950846577850796504,27
unknown,6007757409804860155_1784452472275852884,32
unknown,6185258750239917059_576709243973700209,10
unknown,6186629376181294473_5801165497241590082,12
unknown,6449884758628478363_8570795267489951812,48
unknown,6567447966014672105_2907164572463382983,51
unknown,6612801250187088736_3079586975831246494,17
unknown,6665147297869852817_6107173472258028540,8
unknown,6667467223259378778_666867177445044718,36
unknown,6779272980435580960_6716917349339095313,17
unknown,7053798588359899792_8403115936795908152,42
unknown,7134494703102816429_7497057548747015466,48
unknown,7198992635107468669_9011486494094643845,24
unknown,7213046456589863550_4209270332469605488,37
unknown,7481215841366565857_4903909484033073723,13
unknown,7511593550568568451_287179031299205157,13
unknown,7695947444343287736_5839400244047093361,48
unknown,7802327019113215412_2375635591240621246,9
unknown,7867615412557989933_2229646853217937786,26
unknown,8042443177575234670_3015777411171724213,16
unknown,8073103162182820520_3965318682094650410,6
unknown,8080385646956250870_6637621103888906840,48
unknown,8089610868803279995_1785860808982083812,51
unknown,8105784557320919091_8196413462308499750,51
unknown,8177604505971081035_2677416894419760109,17
unknown,8386898831493208696_4537118129623684359,6
unknown,8528480868102654248_8447102539750397123,6
unknown,8720338879669905852_3056086667952157879,17
unknown,8736609034914317246_8425311543256160621,20
unknown,877972207703715772_5226998635028420035,20
unknown,887855725622149874_5995817709007309545,13
unknown,9085581902214029909_866441623362175759,17
unknown,921390663669168574_2381886225906206378,1
unknown,96332467710587401_2843600227975165659,34
Personal,1551959218686120072_3568123856514376605,6
Personal,2544368930651048418_130551950503170906,48
Personal,3253123661615840141_4611687200617171611,23
Personal,467681154369313321_5790833603157192896,6
Personal,544872603192524772_4589674226370768130,13
Personal,8665231938730452595_3266046849043955116,4
Purchase,1231728024_2140199949,13
unknown,1987708906768717764_1840172218074650414,55
unknown,4975057251021247136_8381228594779645394,18
unknown,5816618920687746599_2958338312440309329,48
unknown,7614167239299134206_2436334494349834633,17
unknown,7883622636923501516_1809533540216436107,6
unknown,8636673312306935404_2079632349672823611,42
unknown,8858276324295005566_3524617631436805349,3
unknown,3525953113392824590_2297329940291527642,42
unknown,4757683379960173703_1512564512926132204,48
unknown,7022542983782428530_1338367201954626716,13
unknown,3668771783902623036_7781472164770330314,24
unknown,5032110347860520092_2247948010829262346,28
unknown,4695919165213870851_8194490113200431669,13
unknown,4992127050721655504_1863363009287183053,13
unknown,6230817955096426882_2131743333162392463,47
unknown,6230817955096426882_2131743333162392463,47
unknown,6805584168729785422_5654615507038039183,47
unknown,657586007620506322_7756403323570523254,36
unknown,4190938001714079381_6691222028788940143,36
unknown,3955065216980907401_6421324711952320517,20
unknown,8317463513868230602_8622102141161867728,41
unknown,1665703770584752450_9208492245620781944,8
unknown,5117468144516935365_6003680730191855856,36
unknown,9069118603727805598_7887087800216963090,42
unknown,2215656963705020499_3484206461006050147,2
Personal,2914094568601665101_5383892901777088146,25
Purchase,4580586728575668895_2355924021875903047,12
Refinance,2932148839_2781648693,17
Refinance,3253127411122298561_4611687158741256700,36
Refinance,412270155_1594079913,9
Purchase,7626789446230107518_2505799745290202946,48
Refinance,1124499293_2140199949,27
Personal,801964370_4048509773,12
